id,name,ntid,threat,state,department,,,,Department,Threat,,Department,Average Threat,,,,,,,,,,,,,,,,,,,,,,,,,
807775,"Lautenschlage,Rod",rxlautenschlage,0.208465787,AR,Accounting,0.140049225,,,Accounting,0.280591195,,Accounting,0.15080812,,,Accounting,0.000166667,56,Business Development,0.000166667,,Corporate,0.000166667,,Engineering,0.000166667,,IT,0.0035,,Marketing,0.000166667,,Sales,0.000166667,,Services,=
981434,"Phung,Cinderella",cmphung,0.194611111,AR,Accounting,,,,Accounting,0.243777778,,Business Development,0.148287266,,,Accounting,0.002775362,,Business Development,0.004452381,,Corporate,0.000166667,,Engineering,0.000166667,,IT,0.004782051,,Marketing,0.0035,,Sales,0.003696078,,Services,0.003324561
631953,"Schaar,Garry",gqschaar,0.194162966,AR,Accounting,,,,Accounting,0.23975,,Corporate,0.14650469,,,Accounting,0.002893939,,Business Development,0.004782051,,Corporate,0.005166667,,Engineering,0.000166667,,IT,0.007666667,,Marketing,0.004166667,,Sales,0.003696078,,Services,0.004782051
135003,"Speck,Nydia",nuspeck,0.1835,AR,Accounting,,,,Accounting,0.237809524,,Engineering,0.140772399,,,Accounting,0.003696078,,Business Development,0.007366667,,Corporate,0.006373563,,Engineering,0.00302381,,IT,0.007666667,,Marketing,0.005166667,,Sales,0.004166667,,Services,0.005621212
721186,"Slade,Inge",ibslade,0.175166667,AR,Accounting,,,,Accounting,0.237723058,,IT,0.143886885,,,Accounting,0.004166667,,Business Development,0.007992754,,Corporate,0.007992754,,Engineering,0.003324561,,IT,0.008348485,,Marketing,0.007366667,,Sales,0.004452381,,Services,0.007366667
803136,"Rings,Brigette",bsrings,0.162666667,AR,Accounting,,,,Accounting,0.231934109,,Marketing,0.150174839,,,Accounting,0.004782051,,Business Development,0.007992754,,Corporate,0.008348485,,Engineering,0.008348485,,IT,0.008348485,,Marketing,0.007992754,,Sales,0.004782051,,Services,0.007666667
397602,"Paravati,Sibyl",sgparavati,0.146678295,AR,Accounting,,,,Accounting,0.229965686,,Sales,0.147641284,,,Accounting,0.006166667,,Business Development,0.008348485,,Corporate,0.008348485,,Engineering,0.008348485,,IT,0.008348485,,Marketing,0.008738095,,Sales,0.007992754,,Services,0.007666667
285977,"Mendibles,Tristan",tqmendibles,0.045166667,AR,Accounting,,,,Accounting,0.227944444,,Services,0.154160842,,,Accounting,0.006833333,,Business Development,0.008738095,,Corporate,0.008738095,,Engineering,0.008738095,,IT,0.008738095,,Marketing,0.008738095,,Sales,0.007992754,,Services,0.007992754
819000,"Merkowitz,Evie",ejmerkowitz,0.030166667,AR,Accounting,,,,Accounting,0.226637255,,,,,,Accounting,0.007992754,,Business Development,0.009166667,,Corporate,0.009166667,,Engineering,0.008738095,,IT,0.008738095,,Marketing,0.009166667,,Sales,0.008348485,,Services,0.008348485
940238,"Mechling,Tawanda",tnmechling,0.225880952,AR,Business Development,,,,Accounting,0.225333333,,,,,,Accounting,0.008738095,,Business Development,0.009166667,,Corporate,0.009166667,,Engineering,0.008738095,,IT,0.009166667,,Marketing,0.009640351,,Sales,0.008738095,,Services,0.009166667
